,Location,Type,Start,End,Duration
393,Location 1,Dry,2023-11-17,2023-12-19,33
394,Location 1,Wet,2023-12-20,2023-12-22,3
395,Location 1,Dry,2023-12-23,2023-12-29,7
396,Location 1,Wet,2023-12-30,2023-12-31,2
397,Location 1,Dry,2024-01-01,2024-01-03,3
398,Location 1,Wet,2024-01-04,2024-01-04,1
399,Location 1,Dry,2024-01-05,2024-01-06,2
400,Location 1,Wet,2024-01-07,2024-01-07,1
401,Location 1,Dry,2024-01-08,2024-01-10,3
402,Location 1,Wet,2024-01-11,2024-01-11,1
403,Location 1,Dry,2024-01-12,2024-01-20,9
404,Location 1,Wet,2024-01-21,2024-01-23,3
405,Location 1,Dry,2024-01-24,2024-02-01,9
406,Location 1,Wet,2024-02-02,2024-02-03,2
407,Location 1,Dry,2024-02-04,2024-02-05,2
408,Location 1,Wet,2024-02-06,2024-02-10,5
409,Location 1,Dry,2024-02-11,2024-02-20,10
410,Location 1,Wet,2024-02-21,2024-02-21,1
411,Location 1,Dry,2024-02-22,2024-03-01,9
412,Location 1,Wet,2024-03-02,2024-03-04,3
413,Location 1,Dry,2024-03-05,2024-03-06,2
414,Location 1,Wet,2024-03-07,2024-03-07,1
415,Location 1,Dry,2024-03-08,2024-03-15,8
416,Location 1,Wet,2024-03-16,2024-03-16,1
417,Location 1,Dry,2024-03-17,2024-03-23,7
418,Location 1,Wet,2024-03-24,2024-03-25,2
419,Location 1,Dry,2024-03-26,2024-03-30,5
420,Location 1,Wet,2024-03-31,2024-04-01,2
421,Location 1,Dry,2024-04-02,2024-04-05,4
422,Location 1,Wet,2024-04-06,2024-04-06,1
423,Location 1,Dry,2024-04-07,2024-04-13,7
424,Location 1,Wet,2024-04-14,2024-04-14,1
425,Location 1,Dry,2024-04-15,2024-05-04,20
426,Location 1,Wet,2024-05-05,2024-05-05,1
427,Location 1,Dry,2024-01-01,2024-12-31,366
428,Location 1,Wet,2024-01-04,2024-01-04,1
429,Location 1,Dry,2024-01-05,2024-01-20,16
430,Location 1,Wet,2024-01-21,2024-01-23,3
431,Location 1,Dry,2024-01-24,2024-01-31,8
432,Location 1,Wet,2024-02-01,2024-02-02,2
433,Location 1,Dry,2024-02-03,2024-02-04,2
